stop_id,stop_name,stop_lat,stop_lon,Zipcode
20874,Hwy 101 & K St,33.036524,-117.292332,92024
20877,El Camino Real & Jackspar Dr,33.146616,-117.289981,92008
20878,Thunder Dr & Vista Way,33.185093,-117.288298,92056
20879,Thunder Dr & Altura Dr,33.192117,-117.288266,92056
20880,Hwy 101 & San Elijo State Beach,33.02476,-117.285977,92007
20881,Saxony Rd & Ezee St,33.059495,-117.285489,92024
20890,Emerald Dr & Candia Ct,33.201871,-117.279572,92083
20891,Sunset Dr & Sky Haven Ln,33.184209,-117.279028,92081
20892,N Santa Fe Av & Alamosa Park Dr,33.242746,-117.278354,92057
20895,Hwy 101 & Estrella St,32.994948,-117.272562,92075
20897,Hwy 101 & Dahlia Dr,32.988321,-117.271003,92075
20898,Hwy 101 & Via De La Valle,32.980405,-117.269259,92075
20899,Camino Del Mar & 25th St,32.969275,-117.268018,92014
20900,El Camino Real & La Costa Av,33.084852,-117.268499,92009
20901,El Camino Real & Arenal Rd,33.094933,-117.267864,92011
20903,Camino Del Mar & 15th St,32.959836,-117.265439,92014
20904,El Camino Real & Aviara Pkwy,33.102746,-117.266771,92011
20905,Camino Del Mar & 13th St,32.95737,-117.264661,92014
20906,El Camino Real & Levante St,33.07814,-117.265555,92009
20907,Camino Del Mar & 9th St,32.953629,-117.263213,92014
20908,Camino Del Mar & 4th St,32.949149,-117.261518,92014
20910,El Camino Real & Encinitas Blvd,33.044644,-117.259785,92024
20912,El Camino Real & Santa Fe Dr,33.039133,-117.259581,92024
20916,Melrose Dr & Sunset Dr,33.179114,-117.253583,92081
20917,Melrose Dr & Branding Iron Cir,33.181793,-117.252628,92081
20918,North Dr & East Dr,33.214102,-117.252354,92083
20919,N Santa Fe Av & Osborne St,33.234468,-117.253786,92083
20926,N Santa Fe Av & Pond Pl,33.224305,-117.246513,92083
20928,N Santa Fe Av & Orange St,33.205271,-117.245127,92083
20929,N Santa Fe Av & East Dr,33.214275,-117.245042,92083
20931,S Mission Rd & Winterhaven Rd,33.346132,-117.242385,92028
20932,Melrose Dr & Green Oak Rd,33.155512,-117.241872,92081
20933,S Mission Rd & Big Oak Ranch Rd,33.338546,-117.238352,92028
20934,Rancho Santa Fe Rd & 9th St,33.048229,-117.233968,92024
20937,Anza Av & Bobier Dr,33.219717,-117.233778,92084
20938,S Mission Rd & Hellers Bend (North),33.324208,-117.235281,92028
20939,Anza Av & Monterey Ln,33.221626,-117.232746,92084
20941,E Vista Way & Hutchison St,33.250302,-117.230342,92084
