X,Y,OBJECTID,ntd_id,stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_code,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,agency_id,download_date
-106.329184,31.7838150000001,482095,60006,2801,Pebble Hills\Fierro,10600 Unit IB & Fierro Dr,31.783815,-106.329184,,,2801,,,,0,,,,01-13-2024
-106.333381,31.7838150000001,482096,60006,2802,Pebble Hills\Edgerock,10500 Unit IB & Edgerock Dr,31.783815,-106.333381,,,2802,,,,0,,,,01-13-2024
-106.332128,31.7886510000001,482097,60006,2803,Yarbrough\Kinross,3200 Unit OB/IB & Kinross Ave,31.788651,-106.332128,,,2803,,,,0,,,,01-13-2024
-106.330863,31.7906520000001,482098,60006,2804,Yarbrough\Havenrock,3300 Unit OB/IB & Havenrock Dr,31.790652,-106.330863,,,2804,,,,0,,,,01-13-2024
-106.349685,31.780853,482099,60006,2808,Wedgewood\Cork,2700 Unit IB & Cork Dr,31.780853,-106.349685,,,2808,,,,0,,,,01-13-2024
-106.350317,31.7796300000001,482100,60006,2809,Wedgewood\Debbie,2700 Unit IB & Debbie Dr,31.77963,-106.350317,,,2809,,,,0,,,,01-13-2024
-106.349857,31.7775330000001,482101,60006,2810,Wedgewwood\Singapore,2500 Unit IB & Singapore Dr,31.777533,-106.349857,,,2810,,,,0,,,,01-13-2024
-106.349055,31.775223,482102,60006,2811,Wedgewood\Trinidad,2400 Unit IB & Trinidad Dr,31.775223,-106.349055,,,2811,,,,0,,,,01-13-2024
-106.350404,31.767909,482103,60006,2813,Wedgewood\Acer,1900 Unit IB & Acer St,31.767909,-106.350404,,,2813,,,,0,,,,01-13-2024
-106.350586,31.7661650000001,482104,60006,2814,Wedgewood\Sumac,1700 Unit IB & Sumac Dr,31.766165,-106.350586,,,2814,,,,0,,,,01-13-2024
-106.352037,31.7634610000001,482105,60006,2815,Wedgewood\Sugarberry,1400 Unit IB & Sugarberry Dr,31.763461,-106.352037,,,2815,,,,0,,,,01-13-2024
-106.371062,31.7928820000001,482106,60006,2820,Montana\Hawkins,8836 Unit OB & Hawkins Blvd,31.792882,-106.371062,,,2820,,,,0,,,,01-13-2024
-106.366837,31.793482,482107,60006,2821,Montana\Mattox, Unit OB & Mattox St,31.793482,-106.366837,,,2821,,,,0,,,,01-13-2024
-106.362348,31.7940830000001,482108,60006,2822,Montana\Shell, Unit OB & Shell St,31.794083,-106.362348,,,2822,,,,0,,,,01-13-2024
-106.357859,31.7944450000001,482109,60006,2823,Montana\Rutherglen, Unit OB & Rutherglen St,31.794445,-106.357859,,,2823,,,,0,,,,01-13-2024
-106.354223,31.7949550000001,482110,60006,2824,Montana\Derrick, Unit OB & Derrick Rd,31.794955,-106.354223,,,2824,,,,0,,,,01-13-2024
-106.348036,31.7959090000001,482111,60006,2825,Montana\Wedgewood,10000 Unit OB & Wedgewood Dr,31.795909,-106.348036,,,2825,,,,0,,,,01-13-2024
-106.34393,31.796505,482112,60006,2826,Montana\Lorne,,31.796505,-106.34393,,,2826,,,,0,,,,01-13-2024
-106.341029,31.796858,482113,60006,2827,Montana\Limerick,10310 Unit OB & Limerick Rd,31.796858,-106.341029,,,2827,,,,0,,,,01-13-2024
-106.335441,31.7975940000001,482114,60006,2828,Montana\Firestone, Unit OB & Firestone St,31.797594,-106.335441,,,2828,,,,0,,,,01-13-2024
-106.321765,31.7992330000001,482115,60006,2829,Montana\Lee Trevino,10910 Unit OB & Lee Trevino Dr,31.799233,-106.321765,,,2829,,,,0,,,,01-13-2024
-106.316084,31.7999770000001,482116,60006,2830,11124 Montana,11124 Unit OB,31.799977,-106.316084,,,2830,,,,0,,,,01-13-2024
-106.311226,31.800579,482117,60006,2831,Montana\Premier Properties,11000 Unit OB & Premier Properties,31.800579,-106.311226,,,2831,,,,0,,,,01-13-2024
-106.278397,31.8049310000001,482118,60006,2832,Montana\Southwest Housing,11890 Unit OB & Southwest Housing,31.804931,-106.278397,,,2832,,,,0,,,,01-13-2024
-106.307192,31.801143,482119,60006,2833,11200 Montana\Arvey Park,11200 Unit OB & Arvey Park,31.801143,-106.307192,,,2833,,,,0,,,,01-13-2024
-106.29179,31.8031570000001,482120,60006,2834,11540 Montana\Regency Vill.,11540 Unit OB & Regency Vill.,31.803157,-106.29179,,,2834,,,,0,,,,01-13-2024
